Date,Adj Close,,,
01.01.2018,186.5,10.5,-3,179
02.01.2018,154.325,10.325,8,136
03.01.2018,131.15,10.15,-4,125
04.01.2018,180.975,9.975,-1,172
05.01.2018,175.8,9.8,-7,173
06.01.2018,204.625,9.625,7,188
07.01.2018,131.45,9.45,-7,129
08.01.2018,160.275,9.275,-6,157
09.01.2018,212.1,9.1,5,198
10.01.2018,178.925,8.925,-7,177
11.01.2018,157.75,8.75,0,149
12.01.2018,140.575,8.575,-8,140
13.01.2018,141.4,8.4,4,129
14.01.2018,179.225,8.225,2,169
15.01.2018,153.05,8.05,-3,148
16.01.2018,188.875,7.875,0,181
17.01.2018,137.7,7.7,-7,137
18.01.2018,115.525,7.525,8,100
19.01.2018,192.35,7.35,-8,193
20.01.2018,184.175,7.175,2,175
21.01.2018,170,7,-4,167
22.01.2018,124.825,6.825,2,116
23.01.2018,200.65,6.65,-1,195
24.01.2018,172.475,6.475,-5,171
25.01.2018,176.3,6.3,-3,173
26.01.2018,182.125,6.125,9,167
27.01.2018,170.95,5.95,8,157
28.01.2018,99.775,5.775,-6,100
29.01.2018,116.6,5.6,3,108
30.01.2018,173.425,5.425,7,161
31.01.2018,114.25,5.25,3,106
01.02.2018,144.075,5.075,-5,144
02.02.2018,203.9,4.9,2,197
03.02.2018,163.725,4.725,-7,166
04.02.2018,186.55,4.55,-6,188
05.02.2018,192.375,4.375,10,178
06.02.2018,162.2,4.2,-6,164
07.02.2018,199.025,4.025,2,193
08.02.2018,108.85,3.85,1,104
09.02.2018,101.675,3.675,-2,100
10.02.2018,127.5,3.5,1,123
11.02.2018,136.325,3.325,0,133
12.02.2018,123.15,3.15,-8,128
13.02.2018,170.975,2.975,5,163
14.02.2018,156.8,2.8,-3,157
15.02.2018,150.625,2.625,0,148
16.02.2018,194.45,2.45,5,187
17.02.2018,131.275,2.275,9,120
18.02.2018,134.1,2.1,1,131
19.02.2018,187.925,1.925,-1,187
20.02.2018,180.75,1.75,-4,183
21.02.2018,154.575,1.575,8,145
22.02.2018,122.4,1.4,-7,128
23.02.2018,168.225,1.225,4,163
24.02.2018,141.05,1.05,-7,147
25.02.2018,186.875,0.875,2,184
