Date,Adj Close,,,
01.01.2018,48.78,0.78,-6,54
02.01.2018,84.805,0.805,4,80
03.01.2018,68.83,0.83,-2,70
04.01.2018,70.855,0.855,-3,73
05.01.2018,76.88,0.88,-3,79
06.01.2018,67.905,0.905,-3,70
07.01.2018,90.93,0.93,5,85
08.01.2018,75.955,0.955,2,73
09.01.2018,90.98,0.98,-2,92
10.01.2018,83.005,1.005,1,81
11.01.2018,88.03,1.03,-4,91
12.01.2018,69.055,1.055,-2,70
13.01.2018,93.08,1.08,3,89
14.01.2018,87.105,1.105,-2,88
15.01.2018,75.13,1.13,0,74
16.01.2018,89.155,1.155,3,85
17.01.2018,77.18,1.18,4,72
18.01.2018,67.205,1.205,-4,70
19.01.2018,81.23,1.23,3,77
20.01.2018,81.255,1.255,-1,81
21.01.2018,80.28,1.28,0,79
22.01.2018,97.305,1.305,3,93
23.01.2018,80.33,1.33,3,76
24.01.2018,72.355,1.355,1,70
25.01.2018,99.38,1.38,3,95
26.01.2018,70.405,1.405,-4,73
27.01.2018,73.43,1.43,-3,75
28.01.2018,95.455,1.455,4,90
29.01.2018,97.48,1.48,2,94
30.01.2018,89.505,1.505,-3,91
31.01.2018,87.53,1.53,-4,90
01.02.2018,87.555,1.555,3,83
02.02.2018,92.58,1.58,0,91
03.02.2018,96.605,1.605,1,94
04.02.2018,99.63,1.63,5,93
05.02.2018,82.655,1.655,-1,82
06.02.2018,81.68,1.68,-2,82
07.02.2018,100.705,1.705,4,95
08.02.2018,84.73,1.73,3,80
09.02.2018,75.755,1.755,3,71
10.02.2018,83.78,1.78,-4,86
11.02.2018,91.805,1.805,3,87
12.02.2018,86.83,1.83,-3,88
13.02.2018,69.855,1.855,-2,70
14.02.2018,85.88,1.88,3,81
15.02.2018,85.905,1.905,0,84
16.02.2018,79.93,1.93,-3,81
17.02.2018,76.955,1.955,-2,77
18.02.2018,87.98,1.98,2,84
19.02.2018,82.005,2.005,-2,82
20.02.2018,77.03,2.03,-3,78
21.02.2018,75.055,2.055,3,70
22.02.2018,78.08,2.08,-1,77
23.02.2018,86.105,2.105,3,81
24.02.2018,80.13,2.13,3,75
25.02.2018,93.155,2.155,5,86
26.02.2018,78.18,2.18,5,71
27.02.2018,89.205,2.205,-2,89
28.02.2018,89.23,2.23,5,82
01.03.2018,79.255,2.255,-1,78
02.03.2018,98.28,2.28,5,91
03.03.2018,91.305,2.305,-1,90
04.03.2018,99.33,2.33,3,94
05.03.2018,74.355,2.355,2,70
06.03.2018,78.38,2.38,-3,79
07.03.2018,86.405,2.405,4,80
08.03.2018,72.43,2.43,-1,71
09.03.2018,89.455,2.455,0,87
10.03.2018,78.48,2.48,-3,79
11.03.2018,93.505,2.505,-1,92
12.03.2018,95.53,2.53,-2,95
13.03.2018,87.555,2.555,2,83
14.03.2018,79.58,2.58,4,73
15.03.2018,87.605,2.605,-4,89
16.03.2018,88.63,2.63,-4,90
17.03.2018,86.655,2.655,-1,85
18.03.2018,85.68,2.68,4,79
19.03.2018,89.705,2.705,-4,91
20.03.2018,83.73,2.73,0,81
21.03.2018,76.755,2.755,-1,75
22.03.2018,74.78,2.78,-2,74
23.03.2018,88.805,2.805,2,84
24.03.2018,75.83,2.83,0,73
25.03.2018,95.855,2.855,2,91
26.03.2018,80.88,2.88,2,76
27.03.2018,80.905,2.905,0,78
28.03.2018,95.93,2.93,5,88
29.03.2018,95.955,2.955,1,92
30.03.2018,88.98,2.98,4,82
31.03.2018,96.005,3.005,5,88
01.04.2018,76.03,3.03,-2,75
02.04.2018,72.055,3.055,-2,71
03.04.2018,96.08,3.08,-2,95
04.04.2018,90.105,3.105,-3,90
05.04.2018,84.13,3.13,4,77
06.04.2018,91.155,3.155,-2,90
07.04.2018,77.18,3.18,-1,75
08.04.2018,93.205,3.205,1,89
09.04.2018,98.23,3.23,5,90
10.04.2018,81.255,3.255,-2,80
11.04.2018,97.28,3.28,5,89
12.04.2018,74.305,3.305,0,71
13.04.2018,79.33,3.33,-2,78
14.04.2018,92.355,3.355,-1,90
15.04.2018,103.38,3.38,5,95
16.04.2018,96.405,3.405,-2,95
17.04.2018,100.43,3.43,5,92
18.04.2018,96.455,3.455,1,92
19.04.2018,99.48,3.48,1,95
20.04.2018,90.505,3.505,-3,90
21.04.2018,97.53,3.53,2,92
22.04.2018,79.555,3.555,-3,79
23.04.2018,95.58,3.58,4,88
24.04.2018,94.605,3.605,2,89
25.04.2018,95.63,3.63,-1,93
26.04.2018,77.655,3.655,-2,76
27.04.2018,87.68,3.68,1,83
28.04.2018,75.705,3.705,-2,74
29.04.2018,89.73,3.73,3,83
30.04.2018,94.755,3.755,-1,92
01.05.2018,74.78,3.78,0,71
02.05.2018,99.805,3.805,4,92
03.05.2018,91.83,3.83,3,85
04.05.2018,77.855,3.855,-4,78
05.05.2018,75.88,3.88,0,72
06.05.2018,70.905,3.905,-4,71
07.05.2018,82.93,3.93,5,74
08.05.2018,82.955,3.955,4,75
09.05.2018,95.98,3.98,0,92
10.05.2018,79.005,4.005,-4,79
11.05.2018,79.03,4.03,-2,77
12.05.2018,75.055,4.055,-3,74
13.05.2018,96.08,4.08,-1,93
14.05.2018,82.105,4.105,2,76
15.05.2018,80.13,4.13,2,74
16.05.2018,86.155,4.155,-2,84
17.05.2018,82.18,4.18,2,76
18.05.2018,100.205,4.205,5,91
19.05.2018,93.23,4.23,2,87
20.05.2018,76.255,4.255,0,72
21.05.2018,78.28,4.28,4,70
22.05.2018,78.305,4.305,0,74
23.05.2018,91.33,4.33,1,86
24.05.2018,91.355,4.355,3,84
25.05.2018,93.38,4.38,3,86
26.05.2018,77.405,4.405,-2,75
27.05.2018,75.43,4.43,-3,74
28.05.2018,80.455,4.455,5,71
29.05.2018,85.48,4.48,-3,84
30.05.2018,93.505,4.505,1,88
31.05.2018,71.53,4.53,-3,70
01.06.2018,95.555,4.555,-4,95
02.06.2018,85.58,4.58,1,80
03.06.2018,96.605,4.605,3,89
04.06.2018,79.63,4.63,-1,76
05.06.2018,81.655,4.655,4,73
06.06.2018,80.68,4.68,2,74
07.06.2018,88.705,4.705,-1,85
08.06.2018,71.73,4.73,-4,71
09.06.2018,81.755,4.755,-1,78
10.06.2018,76.78,4.78,-3,75
11.06.2018,77.805,4.805,1,72
12.06.2018,89.83,4.83,-3,88
13.06.2018,82.855,4.855,-2,80
14.06.2018,101.88,4.88,3,94
15.06.2018,76.905,4.905,0,72
16.06.2018,73.93,4.93,-2,71
17.06.2018,102.955,4.955,4,94
18.06.2018,73.98,4.98,-2,71
19.06.2018,100.005,5.005,0,95
20.06.2018,90.03,5.03,5,80
21.06.2018,87.055,5.055,0,82
22.06.2018,73.08,5.08,-3,71
23.06.2018,89.105,5.105,-2,86
24.06.2018,103.13,5.13,4,94
25.06.2018,86.155,5.155,2,79
26.06.2018,83.18,5.18,1,77
27.06.2018,89.205,5.205,-4,88
28.06.2018,90.23,5.23,3,82
29.06.2018,82.255,5.255,-2,79
30.06.2018,76.28,5.28,-1,72
01.07.2018,74.305,5.305,-1,70
02.07.2018,98.33,5.33,1,92
03.07.2018,82.355,5.355,5,72
04.07.2018,94.38,5.38,0,89
05.07.2018,86.405,5.405,-2,83
06.07.2018,91.43,5.43,3,83
07.07.2018,81.455,5.455,-2,78
08.07.2018,80.48,5.48,-3,78
09.07.2018,77.505,5.505,-1,73
10.07.2018,80.53,5.53,2,73
11.07.2018,79.555,5.555,-1,75
12.07.2018,83.58,5.58,4,74
13.07.2018,89.605,5.605,-2,86
14.07.2018,98.63,5.63,5,88
15.07.2018,92.655,5.655,-4,91
16.07.2018,95.68,5.68,1,89
17.07.2018,85.705,5.705,3,77
18.07.2018,78.73,5.73,0,73
19.07.2018,86.755,5.755,-2,83
20.07.2018,93.78,5.78,-4,92
21.07.2018,91.805,5.805,-3,89
22.07.2018,101.83,5.83,2,94
23.07.2018,87.855,5.855,0,82
24.07.2018,99.88,5.88,-1,95
25.07.2018,95.905,5.905,4,86
26.07.2018,87.93,5.93,0,82
27.07.2018,79.955,5.955,-3,77
28.07.2018,87.98,5.98,-1,83
29.07.2018,87.005,6.005,0,81
30.07.2018,99.03,6.03,0,93
31.07.2018,87.055,6.055,-3,84
01.08.2018,94.08,6.08,-3,91
02.08.2018,104.105,6.105,3,95
03.08.2018,80.13,6.13,-3,77
04.08.2018,93.155,6.155,2,85
05.08.2018,74.18,6.18,-2,70
06.08.2018,96.205,6.205,3,87
07.08.2018,93.23,6.23,-4,91
08.08.2018,91.255,6.255,3,82
09.08.2018,92.28,6.28,-4,90
10.08.2018,90.305,6.305,0,84
11.08.2018,93.33,6.33,-4,91
12.08.2018,90.355,6.355,5,79
